,chapter,dim0,dim1,book_number,book_name,book_ch,sentiment_score,chapter_length
0,1,0.4160949354351672,0.0774887294490862,1,Genesis,1-1,0.2576923076923076,31
1,2,0.314419707511496,0.021048029105521,1,Genesis,1-2,0.2375,25
2,3,0.1455036264956999,-0.0375836220143332,1,Genesis,1-3,0.177257525083612,24
3,4,0.1169335108358544,-0.039700271411837,1,Genesis,1-4,0.1716738197424892,26
4,5,0.2601349611001574,0.0397378832307672,1,Genesis,1-5,0.202127659574468,32
5,6,0.5574098293906052,0.1456366295602685,1,Genesis,1-6,0.1824324324324324,22
6,7,0.6620790413540606,0.1956114671155264,1,Genesis,1-7,0.2295081967213114,24
7,8,0.5901366639705555,0.175681131603608,1,Genesis,1-8,0.1627906976744186,22
8,9,0.4842332450632642,0.1438115435493845,1,Genesis,1-9,0.2521008403361344,29
9,10,0.2419282345505088,0.0340508624133894,1,Genesis,1-10,0.3684210526315789,32
10,11,0.2130511756176886,0.0167190467467296,1,Genesis,1-11,0.247787610619469,32
11,12,0.0152310036212639,0.0666094377763762,1,Genesis,1-12,0.2803738317757009,20
12,13,0.1320459789471252,0.0302148757690786,1,Genesis,1-13,0.296875,18
13,14,0.1488292211191982,-0.0004337467695322,1,Genesis,1-14,0.4426229508196721,24
14,15,0.1129341853226204,0.0008017341793903,1,Genesis,1-15,0.2043795620437956,21
15,16,0.0927021720750223,-0.1113556904867035,1,Genesis,1-16,0.2335766423357664,16
16,17,0.1534255034514744,-0.175967056905791,1,Genesis,1-17,0.2944444444444444,27
17,18,0.0115494460986592,-0.1564879077180426,1,Genesis,1-18,0.2222222222222222,33
18,19,0.0301026421970843,0.0137954417992836,1,Genesis,1-19,0.2068965517241379,38
19,20,-0.0442419792896293,-0.2204936616288353,1,Genesis,1-20,0.2276422764227642,18
20,21,-0.0010436301948021,-0.3164430364794394,1,Genesis,1-21,0.2325581395348837,34
21,22,-0.018017845887066,-0.2824509021911544,1,Genesis,1-22,0.2142857142857142,24
22,23,-0.0329715762776499,-0.1458291900352043,1,Genesis,1-23,0.3709677419354839,20
23,24,-0.0740213246556084,-0.2030811076357802,1,Genesis,1-24,0.3004926108374384,67
24,25,-0.0790179299037316,-0.3490216871860281,1,Genesis,1-25,0.2992125984251969,34
25,26,-0.0599305010426675,-0.2351995687276001,1,Genesis,1-26,0.2349726775956284,35
26,27,-0.2159884985688805,-0.2329933294619901,1,Genesis,1-27,0.1690140845070422,46
27,28,-0.1446132505543302,-0.3008071342851817,1,Genesis,1-28,0.2469879518072289,22
28,29,-0.1879357119177895,-0.2782837284465717,1,Genesis,1-29,0.2721518987341772,35
29,30,-0.2093292660200658,-0.2793520746567913,1,Genesis,1-30,0.2198275862068965,43
30,31,-0.2134596207951035,-0.2187906636078173,1,Genesis,1-31,0.1790123456790123,55
31,32,-0.1979622085520945,-0.2301270427046688,1,Genesis,1-32,0.1942857142857142,32
32,33,-0.1941923884974025,-0.1610840365039437,1,Genesis,1-33,0.2688172043010752,20
33,34,-0.0810947238526042,-0.1108741590351241,1,Genesis,1-34,0.2432432432432432,31
34,35,-0.1483003264529386,-0.2235926952552977,1,Genesis,1-35,0.2275862068965517,29
35,36,0.0457028712850589,-0.168439565837288,1,Genesis,1-36,0.2945736434108527,43
36,37,-0.2650353345758258,0.2757610011928849,1,Genesis,1-37,0.1359223300970873,36
37,38,-0.0408475728509539,-0.0660061263409321,1,Genesis,1-38,0.2097902097902098,30
38,39,-0.1298553078430445,0.231099614565455,1,Genesis,1-39,0.2327586206896551,23
39,40,-0.1417430152949576,0.3881682271662591,1,Genesis,1-40,0.1666666666666666,23
40,41,-0.1203717367968201,0.4180231606591337,1,Genesis,1-41,0.2878338278931751,57
41,42,-0.2802046839070319,0.3337713483969897,1,Genesis,1-42,0.2217391304347826,39
42,43,-0.2469318600698509,0.2512103316486196,1,Genesis,1-43,0.2207792207792207,33
43,44,-0.1891012124655414,0.1688880812289966,1,Genesis,1-44,0.1411764705882353,34
44,45,-0.3155190961663827,0.440296148666722,1,Genesis,1-45,0.2340425531914893,28
45,46,-0.2101616130856473,0.0952264580893711,1,Genesis,1-46,0.2345679012345679,34
46,47,-0.2995073245480103,0.4324612407589956,1,Genesis,1-47,0.3647058823529411,31
47,48,-0.2031706498182485,0.1663043686773764,1,Genesis,1-48,0.2340425531914893,22
48,49,-0.0764257564522699,-0.0059063321748678,1,Genesis,1-49,0.2232558139534883,33
49,50,-0.3234520091056152,0.3878875441515403,1,Genesis,1-50,0.1818181818181818,26
50,1,-0.1215714533216073,0.0111607994365681,2,Exodus,2-1,0.2921348314606741,22
51,2,-0.1801566193826805,0.0094929817808183,2,Exodus,2-2,0.2323943661971831,25
52,3,-0.2916899728396006,-0.0916788028888982,2,Exodus,2-3,0.2361111111111111,22
53,4,-0.2875012238936728,-0.1627331190632611,2,Exodus,2-4,0.2094017094017094,31
54,5,-0.226877102000505,-0.0321503594514406,2,Exodus,2-5,0.2265625,23
55,6,-0.1813870726357839,-0.0983436564354584,2,Exodus,2-6,0.2971014492753623,30
56,7,-0.24529722737539,-0.1515768137362692,2,Exodus,2-7,0.23125,25
57,8,-0.3008891148528149,-0.1512261703126398,2,Exodus,2-8,0.2487562189054726,32
58,9,-0.26562790818441,-0.0314292415893488,2,Exodus,2-9,0.1847826086956521,35
